Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,job_state,same_state,age,python_yn,R_yn,spark,aws,excel,num_comp
Data Engineer,78.0,3.4,Sapphire Digital,"Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Zocdoc, Healthgrades",0,0,NJ,1,1,1,0,0,0,0,2
Data Scientist,113.5,3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,MA,0,239,1,0,1,0,0,3
Data Scientist,140.0,4.6,<intent>,"New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,NY,1,11,1,0,1,0,0,2
Data Scientist,132.5,3.2,Formation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,1,5,0,0,1,0,1,0
Data Engineer,108.0,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,0,0,CA,0,38,1,0,1,0,0,0
Ag Data Scientist,80.5,4.6,Beck's Hybrids,"Atlanta, IN","Atlanta, IN",501 to 1000 employees,1937,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),-1,0,0,IN,1,83,0,0,0,0,0,0
Data Scientist,107.5,2.8,DrFirst,"Rockville, MD","Rockville, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,0,MD,1,20,1,0,0,0,0,0
Data Engineer,95.0,4.7,Object Partners,"Minneapolis, MN","Minneapolis, MN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Solution Design Group, Intertech (Minnesota)",0,0,MN,1,24,0,0,1,1,0,2
Data Scientist II,119.5,3.0,L.A. Care Health Plan,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Health Net, Kaiser Permanente, Molina Healthcare",0,0,CA,1,23,1,0,1,0,0,3
Senior Data Engineer,134.0,3.2,Red Ventures,"Charlotte, NC","Fort Mill, SC",1001 to 5000 employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),"Clearlink, Credit Karma, LendingTree",0,0,NC,0,20,0,0,1,1,0,3
Data Scientist,100.5,4.4,Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,MA,1,21,1,0,0,0,1,0
Data Scientist,107.5,3.5,The E.W. Scripps Company,"Cincinnati, OH","Cincinnati, OH",1001 to 5000 employees,1878,Company - Public,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),-1,0,0,OH,1,142,1,0,0,0,0,0
Data Engineer,122.0,4.0,Upside Business Travel,"Washington, DC","Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,DC,1,5,1,0,1,1,0,0
Data Engineer,92.5,4.3,Equity Residential,"Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,IL,1,27,1,0,1,0,1,3
Data Analyst,62.0,2.3,Synagro,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,1986,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),-1,0,0,MD,1,34,0,0,0,0,1,0
Project Scientist,39.5,4.0,Alliance Source Testing,"Alabaster, AL","Decatur, AL",51 to 200 employees,2000,Unknown,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1,0,0,AL,0,20,0,0,0,0,0,0
Data Scientist,107.5,3.6,Accuride International,"Santa Fe Springs, Los Angeles, CA","Santa Fe Springs, CA",1001 to 5000 employees,1966,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,0,0,CA,0,54,0,0,0,0,1,0
Data Analytics Manager,40.5,3.8,Full Potential Solutions,"Kansas City, MO","Kansas City, MO",501 to 1000 employees,2017,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,MO,1,3,1,0,0,1,1,0
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,89.5,3.7,Visa Inc.,"Ashburn, VA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,VA,0,62,1,0,1,0,0,3
Data Scientist,81.0,4.4,Maven Wave Partners,"Chicago, IL","Chicago, IL",201 to 500 employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,IL,1,12,1,0,0,1,1,0
Senior Data Scientist,147.0,4.0,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,VA,0,8,1,0,0,1,0,3
Data Scientist,85.0,3.2,"First Command Financial Services, Inc.","Fort Worth, TX","Fort Worth, TX",1001 to 5000 employees,1958,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),"USAA, Navy Federal Credit Union, Raymond James Financial",0,0,TX,1,62,1,0,0,0,1,3
Associate Scientist,81.5,2.9,Pharmavite,"Valencia, CA","West Hills, CA",1001 to 5000 employees,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),"The Nature's Bounty Co., Schiff Nutrition International",0,0,CA,0,49,0,0,0,0,1,2
"Scientist 2, QC Viral Vector",168.0,3.8,BioMarin Pharmaceutical,"Novato, CA","San Rafael, CA",1001 to 5000 employees,1997,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),"Genentech, Ultragenyx Pharmaceutical, Gilead Sciences",0,0,CA,0,23,0,0,0,0,1,3
Machine Learning Engineer,100.5,4.3,Stratagem Group,"Aurora, CO","Aurora, CO",1 to 50 employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,0,0,CO,1,13,1,0,1,1,1,0
Data Scientist/ML Engineer,97.0,3.4,PA Consulting,"New York, NY","London, United Kingdom",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",0,0,NY,0,77,1,0,1,0,1,3
Data Scientist,85.0,4.1,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,VA,0,52,0,0,0,0,0,0
Customer Data Scientist,153.5,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,1,9,1,0,1,1,1,0
Data Engineer,132.5,5.0,Gridiron IT,"Tampa, FL","Reston, VA",51 to 200 employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,1,FL,0,3,0,0,0,0,0,0
Data Engineer,100.0,4.3,Productive Edge,"Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",0,0,IL,1,12,0,0,1,0,1,3
Sr. Data Scientist,105.0,3.7,Evolve Vacation Rental,"Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,0,0,CO,1,9,1,0,0,0,0,0
Data Engineer 4 - Contract,87.0,4.2,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT","Salt Lake City, UT",10000+ employees,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1,0,0,UT,0,-1,0,0,0,1,1,0
Data Analyst - Asset Management,103.5,4.3,Maximus Real Estate Partners,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,"Greystar, The Related Companies, Prometheus Real Estate Group",0,0,CA,1,7,0,0,0,0,1,3
Senior Research Scientist - Embedded System Development for DevOps,124.0,2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,0,PA,1,36,1,0,0,0,1,0
Data Scientist - Bioinformatics,67.0,3.8,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,WA,1,55,1,0,0,0,0,3
Data Engineer,87.0,3.9,AVANADE,"Washington, DC","Seattle, WA",10000+ employees,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),"Slalom, Cognizant Technology Solutions, Deloitte",0,0,DC,0,20,0,0,0,0,0,3
Customer Data Scientist/Sales Engineer,137.5,4.3,h2o.ai,"Chicago, IL","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,IL,0,9,1,0,1,1,1,0
Lead Data Scientist,100.0,3.8,PatientPoint,"Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1987,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Outcome Health, Health Media Network, Mesmerize Marketing",0,0,OH,1,33,1,0,0,0,1,3
MongoDB Data Engineer II,106.5,3.8,BlueCross BlueShield of Tennessee,"Chattanooga, TN","Chattanooga, TN",5001 to 10000 employees,1945,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,0,0,TN,1,75,0,0,0,0,1,0
Senior Data Scientist Statistics,98.5,3.8,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,WA,1,55,0,0,0,0,0,3
Senior Data Analyst,61.0,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,FL,1,10,1,0,0,0,1,0
Senior Spark Engineer (Data Science),106.5,4.4,KSM Consulting,"Indianapolis, IN","Indianapolis, IN",51 to 200 employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,0,0,IN,1,12,1,0,1,1,0,0
Data Engineer,84.5,3.9,Cogo Labs,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,MA,1,15,1,0,1,0,0,0
BI & Platform Analytics Manager,109.5,3.4,Church & Dwight,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,0,0,NJ,1,174,1,0,0,0,1,0
Lead Data Scientist,164.0,3.6,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,MA,0,169,1,0,1,1,0,0
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",169.0,3.9,Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,CA,1,44,1,0,1,0,1,0
Senior Data Scientist,142.0,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,CA,0,24,1,0,1,1,1,0
Pricipal Scientist Molecular and cellular biologist,76.5,3.7,Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,MA,0,239,0,0,0,0,1,3
"Data Scientist (Actuary, FSA or ASA)",107.0,3.8,Legal & General America,"Frederick, MD","Frederick, MD",501 to 1000 employees,1981,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,MD,1,39,1,0,0,0,1,0
Staff Data Scientist,171.5,3.5,Western Digital,"San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba",0,0,CA,1,50,1,0,0,1,0,2
Senior Data Scientist / Machine Learning,96.0,3.9,Health IQ,"Dallas, TX","Mountain View, CA",201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,TX,0,7,0,0,0,0,1,0
Data Scientist - Health Data Analytics,142.5,4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,1,10,0,0,0,0,0,0
Data Engineer 5 - Contract (Remote),107.0,4.2,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT","Salt Lake City, UT",10000+ employees,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1,0,0,UT,0,-1,0,0,0,0,1,0
Senior Scientist - Neuroscience,145.0,3.5,Sunovion,"Marlborough, MA","Marlborough, MA",1001 to 5000 employees,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Shire, GlaxoSmithKline, Allergan",0,0,MA,1,10,1,0,0,0,1,3
Senior Data Analyst,61.5,2.9,National Student Clearinghouse,"Herndon, VA","Herndon, VA",201 to 500 employees,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),"Ellucian, Parchment, College Board",0,0,VA,1,27,1,0,0,0,1,3
Medical Lab Scientist,20.5,3.6,Tower Health,"West Reading, PA","Reading, PA",5001 to 10000 employees,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,1,0,PA,0,3,0,0,0,0,0,0
"Risk and Analytics IT, Data Scientist",120.0,2.7,State of Wisconsin Investment Board,"Madison, WI","Madison, WI",51 to 200 employees,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1,0,0,WI,1,69,1,0,0,0,0,0
"Scientist, Analytical Development",62.0,4.4,Rubius Therapeutics,"Cambridge, MA","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,MA,1,7,0,0,0,0,0,0
Senior Data Scientist,150.5,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,0,0,CA,0,38,1,0,1,0,0,0
Analytics Manager,87.5,4.3,OneMagnify,"Dearborn, MI","Detroit, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,MI,0,53,0,0,0,0,1,0
Data Engineer,71.5,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",0,0,FL,1,14,1,0,1,1,1,2
Digital Marketing & ECommerce Data Analyst,51.5,3.6,Vionic Group,"San Rafael, CA","San Rafael, CA",51 to 200 employees,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),-1,0,0,CA,1,14,0,0,0,0,1,0
Sr. Scientist - Digital & Image Analysis/Computational Pathology,151.5,3.7,Takeda Pharmaceuticals,"San Diego, CA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,CA,0,239,0,0,0,0,1,3
Senior Data Analyst,77.5,2.8,Dodge Data & Analytics,"Hamilton, NJ","Hamilton, NJ",201 to 500 employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,NJ,1,6,1,0,0,0,1,0
Principal Scientist - Immunologist,140.0,3.7,Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,MA,0,239,0,0,0,0,1,3
Senior Data Scientist,98.5,3.3,Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",0,0,NJ,0,38,0,0,0,0,1,2
Principal Data Scientist with over 10 years experience,225.0,-1.0,CA-One Tech Cloud,"San Francisco, CA","Fremont, CA",51 to 200 employees,2017,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,0,1,CA,0,3,1,0,0,1,1,0
MED TECH/LAB SCIENTIST - LABORATORY,27.5,3.6,Beebe Healthcare,"Lewes, DE","Lewes, DE",1001 to 5000 employees,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,1,0,DE,1,85,0,0,0,0,0,0
"Sr. Scientist, Quantitative Translational Sciences",161.5,3.7,Takeda Pharmaceuticals,"Boston, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,MA,0,239,0,0,0,0,0,3
Sr. Data Scientist II,147.0,3.4,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,0,NY,0,72,1,0,1,1,0,0
Excel / VBA / SQL Data Analyst,61.0,4.1,Associated Electric Cooperative,"Springfield, MO","Springfield, MO",501 to 1000 employees,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),-1,0,0,MO,1,59,0,0,0,0,1,0
Machine Learning Research Scientist,120.0,2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,0,PA,1,36,1,0,0,0,0,0
"VP, Data Science",124.5,3.2,PennyMac,"Phoenix, AZ","Westlake Village, CA",1001 to 5000 employees,2008,Company - Public,Lending,Finance,$500 million to $1 billion (USD),"Nationstar Mortgage, Caliber Funding, Quicken Loans",0,0,AZ,0,12,1,0,0,0,1,3
Senior Data Scientist,148.0,3.9,Zest AI,"Burbank, CA","Burbank, CA",51 to 200 employees,2009,Company - Private,Financial Analytics & Research,Finance,$50 to $100 million (USD),-1,0,0,CA,1,11,1,0,0,0,0,0
Radar Data Analyst,59.0,4.7,DECISIVE ANALYTICS Corporation,"Huntsville, AL","Arlington, VA",51 to 200 employees,1996,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),"Torch Technologies, American Systems",0,0,AL,0,24,1,0,0,0,1,2
PL Actuarial-Lead Data Scientist,146.5,3.7,The Hanover Insurance Group,"Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,0,0,MA,1,168,1,0,0,0,1,0
PV Scientist,91.5,2.9,Karyopharm Therapeutics Inc.,"Newton, MA","Newton, MA",201 to 500 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0,0,MA,1,-1,0,0,0,0,1,0
Senior Data & Machine Learning Scientist,133.0,3.0,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0,0,IL,1,5,1,0,0,1,0,0
Principal Data Scientist (Computational Chemistry),140.5,4.7,Recursion Pharmaceuticals,"Salt Lake City, UT","Salt Lake City, UT",51 to 200 employees,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,UT,1,7,1,0,0,1,0,0
Data Engineer,70.5,3.7,P2 Energy Solutions,"Lafayette, LA","Denver, CO",501 to 1000 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,LA,0,-1,0,0,0,0,1,0
"Principal Scientist, Chemistry & Immunology",84.5,3.3,Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,NY,1,6,0,0,0,0,0,0
Software Engineer - Data Visualization,93.5,4.0,ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,0,0,MD,1,18,0,0,0,0,1,0
"Scientist/Senior Scientist, Autoimmune",134.5,4.4,Rubius Therapeutics,"Cambridge, MA","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,MA,1,7,0,0,0,0,0,0
Staff Machine Learning Engineer,181.0,3.9,Tapjoy,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",0,0,CA,1,13,1,0,1,0,0,2
"Principal Scientist, Hematology",84.5,3.3,Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,NY,1,6,0,0,0,0,0,0
Lead Data Engineer,205.0,4.1,Credit Sesame,"Mountain View, CA","Mountain View, CA",51 to 200 employees,2010,Company - Private,Internet,Information Technology,$50 to $100 million (USD),"Credit Karma, LendUp, SoFi",0,0,CA,1,10,1,0,1,1,0,3
Marketing Data Analyst,48.5,3.6,San Manuel Casino,"Highland, CA","Highland, CA",1001 to 5000 employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),-1,0,0,CA,1,34,0,0,0,0,1,0
Medical Laboratory Scientist,21.5,4.0,Texas Health Huguley Hospital,"Burleson, TX","Arlington, TX",1001 to 5000 employees,1977,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,1,0,TX,0,43,0,0,0,1,0,0
R&D Specialist/ Food Scientist,52.5,2.4,Teasdale Latin Foods,"Hoopeston, IL","Flower Mound, TX",501 to 1000 employees,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),-1,0,0,IL,0,-1,0,0,0,0,0,0
Senior Research Scientist-Machine Learning,124.0,2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,0,PA,1,36,0,0,0,0,0,0
Analytics Manager - Data Mart,64.0,3.5,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,CA,1,24,0,0,0,0,0,0
Sr. Data Engineer - Contract-to-Hire (Java),98.0,3.0,Pilot Flying J Travel Centers LLC,"Knoxville, TN","Knoxville, TN",10000+ employees,1958,Company - Private,Gas Stations,Retail,$10+ billion (USD),"TravelCenters of America, Love's Travel Stops & Country Stores, Wawa",0,0,TN,1,62,1,0,0,0,0,3
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,27.5,3.6,Beebe Healthcare,"Millville, DE","Lewes, DE",1001 to 5000 employees,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,1,0,DE,0,85,0,0,0,0,0,0
Food Scientist - Developer,54.0,3.3,Palermo's Pizza,"Milwaukee, WI","Milwaukee, WI",501 to 1000 employees,1964,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,0,0,WI,1,56,0,0,0,0,0,0
Staff Scientist-Downstream Process Development,81.0,2.7,Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1,0,0,MD,1,59,0,0,0,0,1,0
Sr. Data Engineer,107.5,3.4,Echo Global Logistics,"Chicago, IL","Chicago, IL",1001 to 5000 employees,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),"C.H. Robinson, Total Quality Logistics, Coyote Logistics",0,0,IL,1,15,0,0,0,0,0,3
Data Scientist - Quantitative,112.5,3.8,Truckstop.com,"Chicago, IL","New Plymouth, ID",501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,IL,0,25,1,0,0,1,1,0
Data Scientist,89.0,3.7,Lockheed Martin,"Herndon, VA","Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Boeing, Northrop Grumman, Raytheon",0,0,VA,0,25,1,0,1,0,1,3
Senior Research Statistician- Data Scientist,100.5,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,0,WI,1,95,0,0,0,0,0,0
"Business Data Analyst, SQL",65.0,3.8,Fareportal,"New York, NY","New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com",0,0,NY,1,18,0,0,0,0,1,3
Medical Technologist / Clinical Laboratory Scientist,20.0,3.4,"Veterans Affairs, Veterans Health Administration","New Orleans, LA","Washington, DC",10000+ employees,1930,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,1,0,LA,0,90,0,0,0,0,0,0
Data Scientist,72.5,4.3,Credera,"Dallas, TX","Dallas, TX",201 to 500 employees,1999,Subsidiary or Business Segment,Consulting,Business Services,Unknown / Non-Applicable,-1,0,0,TX,1,21,1,0,1,1,1,0
Senior Data Analyst,61.0,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,FL,1,10,1,0,0,0,1,0
BI & Platform Analytics Manager,109.5,3.4,Church & Dwight,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,0,0,NJ,1,174,1,0,0,0,1,0
Data Engineer,84.5,3.9,Cogo Labs,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,MA,1,15,1,0,1,0,0,0
Data Scientist,87.5,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1,0,0,IL,1,28,0,0,0,0,0,0
